emg_on,emg_off,false_triggers_rest,false_triggers_noisy,missed_start_ticks,recommended
0.55,0.25,0,6,3,False
0.55,0.3,0,6,3,False
0.55,0.35,0,6,3,False
0.55,0.4,0,6,3,False
0.6,0.25,0,0,3,False
0.6,0.3,0,0,3,False
0.6,0.35,0,0,3,False
0.6,0.4,0,0,3,False
0.65,0.25,0,0,3,False
0.65,0.3,0,0,3,False
0.65,0.35,0,0,3,True
0.65,0.4,0,0,3,False
0.7,0.25,0,0,3,False
0.7,0.3,0,0,3,False
0.7,0.35,0,0,3,False
0.7,0.4,0,0,3,False
0.75,0.25,0,0,3,False
0.75,0.3,0,0,3,False
0.75,0.35,0,0,3,False
0.75,0.4,0,0,3,False
